% nSim ->    2688
%      nExp        nIn        hLS      trFcn         lr        trC
        654         28         48    trainrp       0.20    2000000
        655         28         48    trainrp       0.20    5000000
        656         28         48    trainrp       0.20    1000000
        657         28         48   trainscg       0.01    1000000
        658         28         48   trainscg       0.01    2000000
        659         28         48   trainscg       0.01    5000000
        660         28         48   trainscg       0.01    1000000
        661         28         48   trainscg       0.05    1000000
        662         28         48   trainscg       0.05    2000000
        663         28         48   trainscg       0.05    5000000
        664         28         48   trainscg       0.05    1000000
        665         28         48   trainscg       0.10    1000000
        666         28         48   trainscg       0.10    2000000
        667         28         48   trainscg       0.10    5000000
        668         28         48   trainscg       0.10    1000000
        669         28         48   trainscg       0.20    1000000
        670         28         48   trainscg       0.20    2000000
        671         28         48   trainscg       0.20    5000000
        672         28         48   trainscg       0.20    1000000
