% nSim ->    2800
  nExp  nIn  hLS      trFcn    lr    trC
   510  10    5    trainrp  0.10  50000
   511  10    5    trainrp  0.05   1000
   512  10    5    trainrp  0.05   5000
   513  10    5    trainrp  0.05  10000
   514  10    5    trainrp  0.05  20000
   515  10    5    trainrp  0.05  50000
   516  10    5    trainrp  0.01   1000
   517  10    5    trainrp  0.01   5000
   518  10    5    trainrp  0.01  10000
   519  10    5    trainrp  0.01  20000
   520  10    5    trainrp  0.01  50000
   521  10    5   trainscg  0.20   1000
   522  10    5   trainscg  0.20   5000
   523  10    5   trainscg  0.20  10000
   524  10    5   trainscg  0.20  20000
   525  10    5   trainscg  0.20  50000
   526  10    5   trainscg  0.10   1000
   527  10    5   trainscg  0.10   5000
   528  10    5   trainscg  0.10  10000
   529  10    5   trainscg  0.10  20000
   530  10    5   trainscg  0.10  50000
   531  10    5   trainscg  0.05   1000
   532  10    5   trainscg  0.05   5000
   533  10    5   trainscg  0.05  10000
   534  10    5   trainscg  0.05  20000
   535  10    5   trainscg  0.05  50000
   536  10    5   trainscg  0.01   1000
   537  10    5   trainscg  0.01   5000
   538  10    5   trainscg  0.01  10000
   539  10    5   trainscg  0.01  20000
   540  10    5   trainscg  0.01  50000
   541  10    5   traingdm  0.20   1000
   542  10    5   traingdm  0.20   5000
   543  10    5   traingdm  0.20  10000
   544  10    5   traingdm  0.20  20000
   545  10    5   traingdm  0.20  50000
   546  10    5   traingdm  0.10   1000
   547  10    5   traingdm  0.10   5000
   548  10    5   traingdm  0.10  10000
   549  10    5   traingdm  0.10  20000
   550  10    5   traingdm  0.10  50000
   551  10    5   traingdm  0.05   1000
   552  10    5   traingdm  0.05   5000
   553  10    5   traingdm  0.05  10000
   554  10    5   traingdm  0.05  20000
   555  10    5   traingdm  0.05  50000
   556  10    5   traingdm  0.01   1000
   557  10    5   traingdm  0.01   5000
   558  10    5   traingdm  0.01  10000
   559  10    5   traingdm  0.01  20000
   560  10    5   traingdm  0.01  50000
   561  10   10    trainlm  0.20   1000
   562  10   10    trainlm  0.20   5000
   563  10   10    trainlm  0.20  10000
   564  10   10    trainlm  0.20  20000
   565  10   10    trainlm  0.20  50000
   566  10   10    trainlm  0.10   1000
   567  10   10    trainlm  0.10   5000
   568  10   10    trainlm  0.10  10000
   569  10   10    trainlm  0.10  20000
   570  10   10    trainlm  0.10  50000
