Pre-process PC 08  SC 47  yB 0 
	 value yy mm dd hh
	000000 15 12 18 13
	000000 15 12 18 14
	000090 15 12 18 15
	000018 16  1  4 10
	000057 16  1 14 13
	000092 16  1 20 11
	000043 16  2  3 13
	000077 16  3  1 13
	000068 16  3 17 20
	000000 16  3 27  3
	000040 16  4  1 14
	000047 16  4 26 14
	000031 16  4 26 15
	000021 16  4 26 16
	000038 16  5 10 12
	000067 16  5 24 11
	000071 16  6 22 11
	000039 16  7  7 12
	000026 16  8 19 12
	000028 16  8 19 13
	000056 16  8 30 12
	000051 16  8 30 13
	000021 16  9 13 13
	000048 16  9 26 12
	000017 16  9 26 13
	000054 16  9 26 14
	000033 16  9 26 15
	000040 16 11 21 18
	000108 16 12 23 10
	000060 16 12 23 14
   -> notV 0000254 of 0043680 (0.58 prctg)
Pre-process PC 08  SC 59  yB 0 
	 value yy mm dd hh
	000000 12  1 16 23
	000000 12  1 16 24
	000044 12  2 16 12
	000043 12  3  1 14
	000036 12  3 11  4
	000000 12  3 11  5
	000000 12  3 11  6
	000000 12  3 11  7
	000000 12  3 11  8
	000000 12  3 11  9
	000000 12  3 11 10
	000000 12  3 11 11
	000002 12  3 11 12
	000000 12  3 25  3
	000025 12  4 19 13
	000000 12  5 24  1
	000005 12  5 24  2
	000024 12  5 24 13
	000013 12  6  8 12
	000015 12  6 14 13
	000020 12  6 22 14
	000011 12  7  6 11
	000030 12  7 19 13
	000014 12  8  3 11
	000037 12  9 25  9
	000000 12  9 25 10
	000000 12  9 25 11
	000055 12  9 28 13
	000007 12  9 30  7
	000021 12 10 26 13
	000014 12 11  7 12
	000010 12 11 21 14
	000012 12 11 21 15
	000011 12 11 26 14
	000063 12 12 27 12
	000046 13  1 10 17
	000018 13  1 18 12
	000068 13  1 31 15
	000057 13  2 15 14
	000025 13  2 15 15
	000002 13  3  1 13
	000009 13  3  1 14
	000003 13  3 14 14
	000010 13  3 27 11
	000009 13  3 27 12
	000000 13  3 31  3
	000027 13  4 13 13
	000003 13  4 26 13
	000002 13  4 26 14
	000004 13  5 10 12
	000001 13  5 10 13
	000003 13  5 22 14
	000001 13  5 24 11
	000019 13  5 24 12
	000074 13  5 24 13
	000007 13  6 15 19
	000000 13  6 15 20
	000000 13  6 15 21
	000000 13  6 15 22
	000000 13  6 15 23
	000000 13  6 15 24
	000000 13  6 17  1
	000000 13  6 17  2
	000000 13  6 17  3
	000000 13  6 17  4
	000000 13  6 17  5
	000000 13  6 17  6
	000000 13  6 17  7
	000000 13  6 17  8
	000000 13  6 17  9
	000000 13  6 17 10
	000000 13  6 17 11
	000000 13  6 17 12
	000000 13  6 17 13
	000005 13  6 17 14
	000007 13  6 20 12
	000031 13  7 26 11
	000000 13  7 26 12
	000000 13  7 26 13
	000000 13  7 26 14
	000000 13  7 26 15
	000002 13  7 26 16
	000096 13  8  2 14
	000006 13  8 16 13
	000016 13  8 21 12
	000005 13  8 30 13
	000000 13  8 30 14
	000000 13  8 30 15
	000002 13  8 30 16
	000085 13  9 27 13
	000014 13 10 17 12
	000039 13 12 20 13
	000008 14  1  9 12
	000001 14  1 24 13
	000026 14  1 28 12
	000000 14  3 30  3
	000003 14  4  2 11
	000014 14  4  2 12
	000015 14  4 26 24
	000004 14  7 10 14
	000011 14  7 24 13
	000005 14  8  8 15
	000026 14  8 20 11
	000016 14  9  3 12
	000021 14 10  3 13
	000001 14 10 13 12
	000314 14 10 13 13
	000206 14 10 13 14
	000012 14 11 12 14
	000026 14 11 26 13
	000041 14 12 12 13
	000036 15  1 23 13
	000024 15  2 20 11
	000035 15  3  6 12
	000024 15  3 20 12
	000000 15  3 29  3
	000022 15  4 10 14
	000014 15  4 10 15
	000050 15  4 17 11
	000013 15  4 29 13
	000024 15  5  8 10
	000000 15  5  8 11
	000000 15  5  8 12
	000002 15  5  8 13
	000037 15  5 14 11
	000013 15  6 12 12
	000059 15  6 25 11
	000090 15  6 25 12
	000058 15  8  7 11
	000009 15  9 18 13
	000035 15 10  1 12
	000030 15 10 16 13
	000003 15 10 26 12
	000222 15 10 26 13
	000114 15 10 26 14
	000000 15 11  2 10
	000021 15 11  2 11
	000023 15 11 13 10
	000006 15 11 25 13
	000026 15 12 11 13
	000034 15 12 21 11
	000004 16  1 18 14
	000007 16  1 18 15
	000020 16  1 19 11
	000136 16  1 19 12
	000025 16  2  5 13
	000032 16  2  5 14
	000012 16  2 19 11
	000026 16  3 18 11
	000038 16  3 18 12
	000000 16  3 27  3
	000007 16  4 28 12
	000035 16  5 11 11
	000059 16  5 27 11
	000026 16  6 16  9
	000033 16  6 24 12
	000005 16  7  5 11
	000138 16  7  5 12
	000189 16  7  5 13
	000012 16  7  5 14
	000006 16  7 22 14
	000061 16  8  4 13
	000002 16  8 18 14
	000018 16  9  1 11
	000001 16  9 29 15
	000006 16  9 29 16
	000011 16 10 28 13
	000029 16 11 25 10
	000018 16 12  5 10
	000019 16 12 23 15
   -> notV 0000170 of 0043824 (0.39 prctg)
Pre-process PC 09  SC 47  yB 0 
	 value yy mm dd hh
	000305 12  1  1  1
	000083 12  1  1  2
	000000 12  1  9  9
	000000 12  1  9 10
	000001 12  2 24  9
	000000 12  3 25  3
	000037 12  5 14 14
	000123 12  5 18 11
	000040 12  5 20 22
	000049 12  5 22  9
	000050 12  5 23 10
	000026 12  5 23 11
	000049 12  5 27 24
	000008 12  7  2  9
	000064 12  7 12 12
	000038 12  7 12 14
	000044 12  7 13  7
	000051 12  7 14  2
	000039 12  7 15 14
	000042 12  7 15 15
	000087 12  7 21 11
	000006 12  7 22 20
	000118 12  7 22 21
	000015 12  7 23  9
	000052 12  7 28 12
	000057 12  7 28 13
	000055 12  7 28 14
	000056 12  8  1 12
	000044 12  8  1 13
	000048 12  8  1 15
	000059 12  8  1 16
	000091 12  8 19 12
	000058 12  8 19 13
	000119 12  8 24 11
	000088 12  8 28 12
	000050 12  8 28 13
	000034 12  8 28 15
	000096 12  8 29 11
	000110 12  8 29 12
	000087 12  9  4 21
	000058 12  9  4 22
	000058 12  9  4 23
	000110 12  9  4 24
	000049 12  9  5 13
	000090 12  9  5 14
	000046 12  9  5 15
	000030 12  9  5 16
	000001 12  9  6 10
	000058 12  9  6 12
	000078 12  9  6 13
	000184 12  9  7 22
	000126 12  9  7 23
	000087 12  9  8 11
	000074 12  9  8 12
	000063 12  9  8 13
	000043 12  9  8 16
	000045 12  9  8 17
	000039 12  9  8 18
	000038 12  9  9 11
	000051 12  9  9 12
	000052 12  9  9 13
	000050 12  9  9 14
	000040 12  9  9 16
