% nSim ->     816
%      nExp        nIn        hLS      trFcn         lr        trC
       674         25         60          1       0.10       5000
       675         25         60          1       0.05       5000
       676         25         60          1       0.01       5000
       677         25         60          2       0.20       5000
       678         25         60          2       0.10       5000
       679         25         60          2       0.05       5000
       680         25         60          2       0.01       5000
       681         30          3          1       0.20       5000
       682         30          3          1       0.10       5000
       683         30          3          1       0.05       5000
       684         30          3          1       0.01       5000
       685         30          3          2       0.20       5000
       686         30          3          2       0.10       5000
       687         30          3          2       0.05       5000
       688         30          3          2       0.01       5000
       689         30          4          1       0.20       5000
       690         30          4          1       0.10       5000
       691         30          4          1       0.05       5000
       692         30          4          1       0.01       5000
       693         30          4          2       0.20       5000
       694         30          4          2       0.10       5000
       695         30          4          2       0.05       5000
       696         30          4          2       0.01       5000
       697         30          5          1       0.20       5000
       698         30          5          1       0.10       5000
       699         30          5          1       0.05       5000
       700         30          5          1       0.01       5000
       701         30          5          2       0.20       5000
       702         30          5          2       0.10       5000
       703         30          5          2       0.05       5000
       704         30          5          2       0.01       5000
       705         30          8          1       0.20       5000
       706         30          8          1       0.10       5000
       707         30          8          1       0.05       5000
       708         30          8          1       0.01       5000
       709         30          8          2       0.20       5000
       710         30          8          2       0.10       5000
       711         30          8          2       0.05       5000
       712         30          8          2       0.01       5000
       713         30         10          1       0.20       5000
       714         30         10          1       0.10       5000
       715         30         10          1       0.05       5000
       716         30         10          1       0.01       5000
       717         30         10          2       0.20       5000
       718         30         10          2       0.10       5000
       719         30         10          2       0.05       5000
       720         30         10          2       0.01       5000
       721         30         12          1       0.20       5000
       722         30         12          1       0.10       5000
       723         30         12          1       0.05       5000
       724         30         12          1       0.01       5000
       725         30         12          2       0.20       5000
       726         30         12          2       0.10       5000
       727         30         12          2       0.05       5000
       728         30         12          2       0.01       5000
       729         30         15          1       0.20       5000
       730         30         15          1       0.10       5000
       731         30         15          1       0.05       5000
       732         30         15          1       0.01       5000
       733         30         15          2       0.20       5000
       734         30         15          2       0.10       5000
       735         30         15          2       0.05       5000
       736         30         15          2       0.01       5000
       737         30         18          1       0.20       5000
       738         30         18          1       0.10       5000
       739         30         18          1       0.05       5000
       740         30         18          1       0.01       5000
       741         30         18          2       0.20       5000
       742         30         18          2       0.10       5000
       743         30         18          2       0.05       5000
       744         30         18          2       0.01       5000
       745         30         20          1       0.20       5000
       746         30         20          1       0.10       5000
       747         30         20          1       0.05       5000
       748         30         20          1       0.01       5000
       749         30         20          2       0.20       5000
       750         30         20          2       0.10       5000
       751         30         20          2       0.05       5000
       752         30         20          2       0.01       5000
       753         30         25          1       0.20       5000
       754         30         25          1       0.10       5000
       755         30         25          1       0.05       5000
       756         30         25          1       0.01       5000
       757         30         25          2       0.20       5000
       758         30         25          2       0.10       5000
       759         30         25          2       0.05       5000
       760         30         25          2       0.01       5000
       761         30         30          1       0.20       5000
       762         30         30          1       0.10       5000
       763         30         30          1       0.05       5000
       764         30         30          1       0.01       5000
       765         30         30          2       0.20       5000
       766         30         30          2       0.10       5000
       767         30         30          2       0.05       5000
       768         30         30          2       0.01       5000
       769         30         35          1       0.20       5000
       770         30         35          1       0.10       5000
       771         30         35          1       0.05       5000
       772         30         35          1       0.01       5000
       773         30         35          2       0.20       5000
       774         30         35          2       0.10       5000
       775         30         35          2       0.05       5000
       776         30         35          2       0.01       5000
       777         30         40          1       0.20       5000
       778         30         40          1       0.10       5000
       779         30         40          1       0.05       5000
       780         30         40          1       0.01       5000
       781         30         40          2       0.20       5000
       782         30         40          2       0.10       5000
       783         30         40          2       0.05       5000
       784         30         40          2       0.01       5000
       785         30         45          1       0.20       5000
       786         30         45          1       0.10       5000
       787         30         45          1       0.05       5000
       788         30         45          1       0.01       5000
       789         30         45          2       0.20       5000
       790         30         45          2       0.10       5000
       791         30         45          2       0.05       5000
       792         30         45          2       0.01       5000
       793         30         50          1       0.20       5000
       794         30         50          1       0.10       5000
       795         30         50          1       0.05       5000
       796         30         50          1       0.01       5000
       797         30         50          2       0.20       5000
       798         30         50          2       0.10       5000
       799         30         50          2       0.05       5000
       800         30         50          2       0.01       5000
       801         30         55          1       0.20       5000
       802         30         55          1       0.10       5000
       803         30         55          1       0.05       5000
       804         30         55          1       0.01       5000
       805         30         55          2       0.20       5000
       806         30         55          2       0.10       5000
       807         30         55          2       0.05       5000
       808         30         55          2       0.01       5000
       809         30         60          1       0.20       5000
       810         30         60          1       0.10       5000
       811         30         60          1       0.05       5000
       812         30         60          1       0.01       5000
       813         30         60          2       0.20       5000
       814         30         60          2       0.10       5000
       815         30         60          2       0.05       5000
       816         30         60          2       0.01       5000
